CompanyIdentifier,Employee Number,Column,Title,First name,Column,Last name,Column,Column,Column,Column,Date of Birth,Gender,Column,Column,Column,National ID 1 Type,NationalID1,Column,Column,Column,Column,Column,Column,Nationality,Column,Column,Column,Column,Column,Column,Column,Column,Job Title,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Work Email,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Joining Date,Column,Column,Column,Column,Column,Column,Column,Column,Leaving Date,Column,Column,Column,Column,Column,Column,Column,Column,Column,Full Time Equivalent,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,CompanyName,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
CZ,111111111,xxx,Undisclosed,Jana, ,Novak, , , , ,01/01/1990,Undisclosed, ,Undefined,CZ,NUM,1000000001, , , , , , ,CZ, , , , , , , , ,Admin, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,employeea@company.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28/09/2020, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,Company Spaghetti, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CZ,111111112,xxx,Undisclosed,Dana, ,Smith, , , , ,02/01/1990,Undisclosed, ,Undefined,CZ,NUM,1000000002, , , , , , ,CZ, , , , , , , , ,Admin, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,employeeb@company.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,04/01/2021, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,Company Fruit, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CZ,111111113,xxx,Ms,Jakub, ,Kral, , , , ,03/01/1990,Undisclosed, ,Undefined,CZ,NUM,1000000003, , , , , , ,CZ, , , , , , , , ,Admin, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,employeec@company.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12/11/2018, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,Company Vegetables, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CZ,111111114,xxx,Undisclosed,Viktor, ,Svoboda, , , , ,04/01/1990,Undisclosed, ,Undefined,CZ,NUM,1000000004, , , , , , ,CZ, , , , , , , , ,Admin, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,employeed@company.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,06/09/2021, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,Company Clothes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CZ,111111115,xxx,Undisclosed,Eva, ,Krejci, , , , ,05/01/1990,Undisclosed, ,Undefined,CZ,NUM,1000000005, , , , , , ,CZ, , , , , , , , ,Admin, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,employeee@company.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,09/01/2023, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,Company Shoes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CZ,111111116,xxx,Mr,Ivan, ,Novak, , , , ,06/01/1990,Undisclosed, ,Undefined,CZ,NUM,1000000006, , , , , , ,CZ, , , , , , , , ,Admin, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,employeed@company.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26/03/2018, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,Company Spaghetti, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CZ,111111117,xxx,Undisclosed,Petra, ,Smith, , , , ,07/01/1990,Undisclosed, ,Undefined,CZ,NUM,1000000007, , , , , , ,CZ, , , , , , , , ,Admin, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,employeef@company.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,06/04/2020, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,Company Fruit, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CZ,111111118,xxx,Undisclosed,Michaela, ,Kral, , , , ,08/01/1990,Undisclosed, ,Undefined,CZ,NUM,1000000008, , , , , , ,CZ, , , , , , , , ,Admin, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,employeeg@company.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28/03/2022, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,Company Vegetables, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CZ,111111119,xxx,Undisclosed,Petr, ,Svoboda, , , , ,09/01/1990,Undisclosed, ,Undefined,CZ,NUM,1000000009, , , , , , ,CZ, , , , , , , , ,Admin, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,employeea@company.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17/01/2022, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,Company Clothes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CZ,111111120,xxx,Undisclosed,Jana, ,Krejci, , , , ,10/01/1990,Undisclosed, ,Undefined,CZ,NUM,1000000010, , , , , , ,CZ, , , , , , , , ,Admin, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,employeeb@company.com, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28/03/2022, , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , ,Company Shoes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
